cruise,time,latitude,longitude,line,station,scientific_name,larvae_count,larvae_10m2
,UTC,degrees_north,degrees_east,,,,,Larvae 10/M^2
198003,1980-03-03T10:05:00Z,34.15,-121.14667,80.0,60.0,Engraulis mordax,2,10.76
198003,1980-03-03T10:05:00Z,34.15,-121.14667,80.0,60.0,Merluccius productus,4,21.52
198003,1980-03-03T13:15:00Z,34.31333,-120.8,80.0,55.0,Engraulis mordax,47,446.36365
198003,1980-03-03T15:30:00Z,34.415,-120.58666,80.0,52.0,Engraulis mordax,69,743.4783
198003,1980-03-03T15:30:00Z,34.415,-120.58666,80.0,52.0,Merluccius productus,2,21.550095
198004,1980-04-12T17:13:00Z,34.225,-119.41167,83.3,40.6,Engraulis mordax,1,215.42
198004,1980-04-12T21:27:00Z,34.226665,-119.74333,82.6,44.2,Engraulis mordax,5,1062.85
198004,1980-04-12T22:42:00Z,34.248333,-119.888336,82.2,45.6,Engraulis mordax,1,224.55
198004,1980-04-13T01:30:00Z,34.103333,-119.95333,82.7,47.4,Engraulis mordax,4,1317.72
198004,1980-04-13T02:12:00Z,34.04,-119.94,83.3,47.7,Engraulis mordax,10,2487.8
198004,1980-04-13T02:52:00Z,33.978333,-119.92667,83.3,48.0,Engraulis mordax,18,3819.24
198004,1980-04-13T03:49:00Z,33.858334,-119.933334,83.8,49.0,Engraulis mordax,7,1849.96
198004,1980-04-13T05:30:00Z,33.8,-119.89,84.7,49.9,Engraulis mordax,6,1465.14
198004,1980-04-13T06:04:00Z,33.751667,-119.84,84.5,48.8,Engraulis mordax,5,1072.0
198004,1980-04-13T07:23:00Z,33.696667,-119.81167,84.8,48.9,Engraulis mordax,17,3714.84
198004,1980-04-13T07:58:00Z,33.641666,-119.75,85.1,48.6,Engraulis mordax,8,1752.88
198004,1980-04-13T10:53:00Z,33.925,-119.99333,83.3,49.0,Engraulis mordax,3,853.14
198004,1980-04-13T11:30:00Z,33.895,-120.06333,83.3,50.0,Engraulis mordax,7,1619.24
198004,1980-04-13T12:04:00Z,33.876667,-120.13333,83.3,51.0,Engraulis mordax,20,4289.2
198004,1980-04-13T13:00:00Z,33.843334,-120.2,83.3,52.0,Engraulis mordax,9,1887.3
198004,1980-04-13T15:55:00Z,33.711666,-120.47833,83.3,56.0,Engraulis mordax,1,206.36
198004,1980-04-13T16:28:00Z,33.678333,-120.54667,83.3,57.0,Merluccius productus,3,692.7
198004,1980-04-13T17:01:00Z,33.645,-120.61667,83.3,58.0,Merluccius productus,2,435.92
198004,1980-04-13T17:41:00Z,33.608334,-120.683334,83.3,59.0,Merluccius productus,3,627.72
198004,1980-04-13T18:30:00Z,33.58,-120.75166,83.3,60.0,Merluccius productus,7,1541.96
198004,1980-04-13T19:28:00Z,33.628334,-120.79,83.3,60.0,Merluccius productus,4,873.72
198004,1980-04-13T20:05:00Z,33.681667,-120.82667,82.7,60.0,Merluccius productus,4,881.48
198004,1980-04-13T20:41:00Z,33.751667,-120.87334,82.3,60.0,Merluccius productus,14,3397.38
198004,1980-04-13T21:13:00Z,33.803333,-120.91,82.0,60.0,Merluccius productus,6,1313.94
198004,1980-04-13T23:17:00Z,33.976665,-121.03,81.0,60.0,Merluccius productus,3,845.58
198004,1980-04-13T23:50:00Z,34.02833,-121.066666,80.7,60.0,Merluccius productus,3,750.21
198004,1980-04-14T01:18:00Z,34.15,-121.15,80.0,60.0,Merluccius productus,1,336.87
198004,1980-04-14T03:47:00Z,34.25,-120.941666,80.0,57.0,Merluccius productus,1,214.23
198004,1980-04-21T10:00:00Z,33.411667,-121.098335,83.3,65.0,Merluccius productus,2,467.04
198004,1980-04-21T14:37:00Z,33.676666,-120.55,83.3,57.0,Engraulis mordax,1,226.52
198004,1980-04-21T14:37:00Z,33.676666,-120.55,83.3,57.0,Merluccius productus,1,226.52
198004,1980-04-21T17:04:00Z,33.78,-120.34167,83.3,54.0,Engraulis mordax,1,237.48
198004,1980-04-21T17:41:00Z,33.808334,-120.27,83.3,53.0,Engraulis mordax,1,222.4
198004,1980-04-22T01:41:00Z,34.238335,-119.815,82.4,44.9,Engraulis mordax,1,220.48
198004,1980-04-22T03:11:00Z,34.2,-119.651665,82.9,43.4,Merluccius productus,1,227.87
198004,1980-04-22T04:24:00Z,34.178333,-119.50833,83.3,42.0,Engraulis mordax,6,1304.52
198004,1980-04-22T06:41:00Z,34.175,-119.32333,83.7,40.0,Engraulis mordax,2,407.82
198004,1980-04-22T08:17:00Z,34.053333,-119.10167,84.7,38.5,Engraulis mordax,2,472.74
198004,1980-04-22T10:03:00Z,33.95,-119.17167,85.0,40.0,Engraulis mordax,5,1128.15
198004,1980-04-22T10:35:00Z,33.916664,-119.24167,85.0,41.0,Engraulis mordax,4,924.84
198004,1980-04-22T11:03:00Z,33.88333,-119.31,85.0,42.0,Engraulis mordax,15,3258.9
198004,1980-04-22T11:44:00Z,33.85,-119.38,85.0,43.0,Engraulis mordax,1,210.03
198004,1980-04-22T12:16:00Z,33.816666,-119.44833,85.0,44.0,Engraulis mordax,18,3913.56
198004,1980-04-22T12:54:00Z,33.781666,-119.52,85.0,45.0,Engraulis mordax,2,417.64
198004,1980-04-23T03:25:00Z,34.0,-119.333336,84.4,41.4,Engraulis mordax,2,435.26
198004,1980-04-23T05:06:00Z,33.995,-119.40833,84.3,42.3,Engraulis mordax,6,1292.28
198004,1980-04-23T05:45:00Z,33.956665,-119.486664,84.2,43.3,Engraulis mordax,4,959.48
198004,1980-04-23T07:21:00Z,33.751667,-119.58833,85.0,46.0,Engraulis mordax,7,1452.78
198004,1980-04-23T07:55:00Z,33.716667,-119.65667,85.0,47.0,Engraulis mordax,5,1226.1
198004,1980-04-23T08:28:00Z,33.683334,-119.725,85.0,48.0,Engraulis mordax,2,479.02
198004,1980-04-23T09:03:00Z,33.65,-119.793335,85.0,49.0,Engraulis mordax,6,1499.34
198004,1980-04-23T09:40:00Z,33.616665,-119.863335,85.0,50.0,Engraulis mordax,5,1143.6
198004,1980-04-23T10:12:00Z,33.583332,-119.93166,85.0,51.0,Engraulis mordax,2,438.26
198004,1980-04-23T10:43:00Z,33.55,-120.00166,85.0,52.0,Engraulis mordax,1,254.0
198004,1980-04-23T10:43:00Z,33.55,-120.00166,85.0,52.0,Merluccius productus,1,254.0
198004,1980-04-23T11:50:00Z,33.483334,-120.138336,85.0,54.0,Engraulis mordax,7,1562.26
198004,1980-04-23T12:31:00Z,33.451668,-120.208336,85.0,55.0,Engraulis mordax,1,206.55
198004,1980-04-23T20:25:00Z,33.056667,-120.21333,86.7,58.0,Merluccius productus,1,241.14
198004,1980-04-24T03:49:00Z,33.39,-119.525,86.7,48.0,Engraulis mordax,3,643.59
198004,1980-04-24T05:20:00Z,33.423332,-119.456665,86.7,47.0,Engraulis mordax,1,205.04
198004,1980-04-24T05:20:00Z,33.423332,-119.456665,86.7,47.0,Merluccius productus,1,205.04
198004,1980-04-24T05:53:00Z,33.456665,-119.388336,86.7,46.0,Engraulis mordax,16,3222.08
198004,1980-04-24T05:53:00Z,33.456665,-119.388336,86.7,46.0,Merluccius productus,1,201.38
198004,1980-04-24T07:35:00Z,33.49,-119.31834,86.7,45.0,Engraulis mordax,4,824.52
198004,1980-04-24T08:39:00Z,33.523335,-119.25,86.7,44.0,Engraulis mordax,2,448.58
198004,1980-04-24T09:12:00Z,33.556667,-119.18166,86.7,43.0,Engraulis mordax,5,1155.9
198004,1980-04-24T10:43:00Z,33.59,-119.111664,86.7,42.0,Engraulis mordax,20,6349.2
198004,1980-04-24T12:07:00Z,33.621666,-119.043335,86.7,41.0,Engraulis mordax,17,3834.18
198004,1980-04-24T12:52:00Z,33.656666,-118.975,86.7,40.0,Engraulis mordax,5,1093.15
198004,1980-04-24T14:10:00Z,33.69,-118.905,86.7,39.0,Engraulis mordax,2,469.76
198004,1980-04-24T14:44:00Z,33.72333,-118.83666,86.7,38.0,Engraulis mordax,4,873.92
198004,1980-04-24T15:22:00Z,33.756664,-118.76666,86.7,37.0,Engraulis mordax,17,3570.17
198004,1980-04-24T16:26:00Z,33.823334,-118.628334,86.7,35.0,Engraulis mordax,8,1918.32
198004,1980-04-24T17:33:00Z,33.785,-118.566666,86.7,34.6,Engraulis mordax,11,2495.68
198012,1980-11-26T14:00:00Z,33.89,-118.49,86.7,33.0,Sebastes,3,11.97
198012,1980-11-26T15:55:00Z,33.823334,-118.628334,86.7,35.0,Leuroglossus stilbius,1,4.6
198012,1980-11-26T15:55:00Z,33.823334,-118.628334,86.7,35.0,Merluccius productus,1,4.6
198012,1980-11-26T19:45:00Z,33.656666,-118.975,86.7,40.0,Citharichthys stigmaeus,1,4.63
198012,1980-11-26T19:45:00Z,33.656666,-118.975,86.7,40.0,Leuroglossus stilbius,1,4.63
198012,1980-11-26T19:45:00Z,33.656666,-118.975,86.7,40.0,Merluccius productus,1,4.63
198012,1980-11-26T19:45:00Z,33.656666,-118.975,86.7,40.0,Sebastes,7,32.41
198012,1980-11-26T23:10:00Z,33.49,-119.31834,86.7,45.0,Citharichthys,1,4.87
198012,1980-11-26T23:10:00Z,33.49,-119.31834,86.7,45.0,Leuroglossus stilbius,1,4.87
198012,1980-11-26T23:10:00Z,33.49,-119.31834,86.7,45.0,Merluccius productus,5,24.35
198012,1980-11-26T23:10:00Z,33.49,-119.31834,86.7,45.0,Protomyctophum crockeri,1,4.87
198012,1980-11-26T23:10:00Z,33.49,-119.31834,86.7,45.0,Sebastes,1,4.87
198012,1980-11-26T23:10:00Z,33.49,-119.31834,86.7,45.0,Zaniolepis,1,4.87
198012,1980-11-27T02:55:00Z,33.323334,-119.66167,86.7,50.0,Merluccius productus,4,39.1684
198012,1980-11-27T02:55:00Z,33.323334,-119.66167,86.7,50.0,Sebastes,2,19.5842
198012,1980-11-27T06:15:00Z,33.158333,-120.00667,86.7,55.0,Citharichthys stigmaeus,4,38.60194
198012,1980-11-27T06:15:00Z,33.158333,-120.00667,86.7,55.0,Gobiidae,1,9.650485
198012,1980-11-27T06:15:00Z,33.158333,-120.00667,86.7,55.0,Merluccius productus,2,19.30097
198012,1980-11-27T06:15:00Z,33.158333,-120.00667,86.7,55.0,Sebastes,2,19.30097
198012,1980-11-27T09:40:00Z,32.99,-120.35,86.7,60.0,Bathylagoides wesethi,1,10.1953125
198012,1980-11-27T09:40:00Z,32.99,-120.35,86.7,60.0,Diogenichthys atlanticus,1,10.1953125
198012,1980-11-27T09:40:00Z,32.99,-120.35,86.7,60.0,Engraulis mordax,2,20.390625
198012,1980-11-27T09:40:00Z,32.99,-120.35,86.7,60.0,Gobiidae,1,10.1953125
198012,1980-11-27T09:40:00Z,32.99,-120.35,86.7,60.0,Leuroglossus stilbius,2,20.390625
198012,1980-11-27T09:40:00Z,32.99,-120.35,86.7,60.0,Lipolagus ochotensis,1,10.1953125
198012,1980-11-27T09:40:00Z,32.99,-120.35,86.7,60.0,Microstoma,1,10.1953125
198012,1980-11-27T09:40:00Z,32.99,-120.35,86.7,60.0,Oxyjulis californica,1,10.1953125
198012,1980-11-27T09:40:00Z,32.99,-120.35,86.7,60.0,Protomyctophum crockeri,3,30.585938
198012,1980-11-27T09:40:00Z,32.99,-120.35,86.7,60.0,Sebastes,2,20.390625
198012,1980-11-27T09:40:00Z,32.99,-120.35,86.7,60.0,Sternoptychidae,2,20.390625
198012,1980-11-27T09:40:00Z,32.99,-120.35,86.7,60.0,Tarletonbeania crenularis,1,10.1953125
198012,1980-11-27T15:00:00Z,32.656666,-121.04667,86.7,70.0,Idiacanthus antrostomus,1,10.821053
198012,1980-11-27T15:00:00Z,32.656666,-121.04667,86.7,70.0,Protomyctophum crockeri,3,32.463158
198012,1980-11-27T15:00:00Z,32.656666,-121.04667,86.7,70.0,Sebastolobus,1,10.821053
198012,1980-11-27T20:05:00Z,32.323334,-121.71333,86.7,80.0,Chauliodus macouni,1,5.25
198012,1980-11-27T20:05:00Z,32.323334,-121.71333,86.7,80.0,Citharichthys,1,5.25
198012,1980-11-27T20:05:00Z,32.323334,-121.71333,86.7,80.0,Diogenichthys atlanticus,1,5.25
198012,1980-11-27T20:05:00Z,32.323334,-121.71333,86.7,80.0,Melamphaes,1,5.25
198012,1980-11-27T20:05:00Z,32.323334,-121.71333,86.7,80.0,Protomyctophum crockeri,4,21.0
198012,1980-11-27T20:05:00Z,32.323334,-121.71333,86.7,80.0,Sternoptychidae,1,5.25
198012,1980-11-27T20:05:00Z,32.323334,-121.71333,86.7,80.0,Tarletonbeania crenularis,1,5.25
198012,1980-11-28T01:25:00Z,31.99,-122.39333,86.7,90.0,Chauliodus macouni,1,4.81
198012,1980-11-28T01:25:00Z,31.99,-122.39333,86.7,90.0,Citharichthys,2,9.62
198012,1980-11-28T01:25:00Z,31.99,-122.39333,86.7,90.0,Citharichthys stigmaeus,2,9.62
198012,1980-11-28T01:25:00Z,31.99,-122.39333,86.7,90.0,Cyclothone,1,4.81
198012,1980-11-28T01:25:00Z,31.99,-122.39333,86.7,90.0,Danaphos oculatus,2,9.62
198012,1980-11-28T01:25:00Z,31.99,-122.39333,86.7,90.0,Diogenichthys atlanticus,2,9.62
198012,1980-11-28T01:25:00Z,31.99,-122.39333,86.7,90.0,Lestidiops ringens,1,4.81
198012,1980-11-28T01:25:00Z,31.99,-122.39333,86.7,90.0,Protomyctophum crockeri,9,43.29
198012,1980-11-28T01:25:00Z,31.99,-122.39333,86.7,90.0,Sternoptychidae,3,14.43
198012,1980-11-28T01:25:00Z,31.99,-122.39333,86.7,90.0,Vinciguerria lucetia,4,19.24
198012,1980-12-09T17:40:00Z,34.216667,-119.425,83.3,40.6,Engraulis mordax,27,206.82
198012,1980-12-09T17:40:00Z,34.216667,-119.425,83.3,40.6,Genyonemus lineatus,1,7.66
